iter	MultiClass
0	1.682428116
1	1.596541871
2	1.521179935
3	1.456965057
4	1.400489181
5	1.353191512
6	1.308780695
7	1.270792505
8	1.235006058
9	1.202575188
10	1.174929593
11	1.149466321
12	1.127798164
13	1.104138495
14	1.083747068
15	1.066191845
16	1.049343029
17	1.034162276
18	1.021113454
19	1.007559266
20	0.9954235465
21	0.9853917893
22	0.9752925293
23	0.9647272577
24	0.9567782645
25	0.9487348265
26	0.9414996973
27	0.9325894342
28	0.92467048
29	0.9177561822
30	0.9114387598
31	0.9050684248
32	0.8984672479
33	0.8922345352
34	0.8877107407
35	0.8837753318
36	0.8777075419
37	0.8738582601
38	0.867110347
39	0.862412144
40	0.857959131
41	0.8548061861
42	0.8519268018
43	0.8485012013
44	0.8448105074
45	0.8418443298
46	0.83767698
47	0.8350178904
48	0.8313649253
49	0.8280745779
50	0.8257313549
51	0.8229746707
52	0.8199562347
53	0.8164873539
54	0.8131771055
55	0.8098826199
56	0.807786149
57	0.8058303563
58	0.8034766098
59	0.8008552822
60	0.7981626858
61	0.7959418158
62	0.7933208801
63	0.790046814
64	0.7871318524
65	0.7848032608
66	0.7828861325
67	0.7814788509
68	0.7788932799
69	0.7774075996
70	0.7752011913
71	0.7717007553
72	0.7697607047
73	0.7668522103
74	0.7641602567
75	0.7608842429
76	0.7589643936
77	0.756357525
78	0.7541151803
79	0.7508483905
80	0.7483941661
81	0.7447651632
82	0.7422192201
83	0.7399007164
84	0.7383812171
85	0.7367332424
86	0.7344325595
87	0.732449777
88	0.7311339502
89	0.7281237782
90	0.7248261631
91	0.7229104619
92	0.7207939575
93	0.7201855592
94	0.7173821767
95	0.715218409
96	0.7140903748
97	0.7119401117
98	0.7099756003
99	0.7088910819
100	0.7057100075
101	0.7032065582
102	0.7002351313
103	0.7000085146
104	0.6989056163
105	0.6962347097
106	0.6943410076
107	0.691474064
108	0.6905028176
109	0.6883844125
110	0.6853929703
111	0.6821883584
112	0.6790286937
113	0.6768553525
114	0.6752529189
115	0.6743014354
116	0.6723259923
117	0.6692501267
118	0.6667795202
119	0.6646369769
120	0.6618091151
121	0.6600471462
122	0.6577496227
123	0.6555629013
124	0.6537421318
125	0.6524399946
126	0.650435294
127	0.6477336356
128	0.6454102822
129	0.6433485759
130	0.6415817508
131	0.6389606385
132	0.6375146346
133	0.6354791478
134	0.6339594578
135	0.6314889093
136	0.6287669357
137	0.6275029578
138	0.6257061735
139	0.6254827637
140	0.6251365077
141	0.6238154884
142	0.6220259071
143	0.6196636037
144	0.618086625
145	0.6162562393
146	0.6144376309
147	0.6129440295
148	0.6122062375
149	0.6108620491
150	0.6087994639
151	0.6077059448
152	0.6058958624
153	0.6043444558
154	0.6026432059
155	0.6009419239
156	0.5996449384
157	0.5969994747
158	0.5964190659
159	0.5946731006
160	0.5938391893
161	0.5930020941
162	0.5905034349
163	0.588660985
164	0.5870113242
165	0.5846363751
166	0.58276627
167	0.5813303638
168	0.5796525279
169	0.5780501596
170	0.5775883782
171	0.5757426955
172	0.5743879261
173	0.573734298
174	0.5722961091
175	0.5705796487
176	0.569078025
177	0.5675881294
178	0.5657664373
179	0.5644145186
180	0.5618597964
181	0.5593273147
182	0.5578525512
183	0.5561768762
184	0.5541858485
185	0.5531492907
186	0.550957483
187	0.5493761215
188	0.5479039248
189	0.5457222064
190	0.5453262407
191	0.5444895203
192	0.5430831926
193	0.540968315
194	0.539871137
195	0.5379136052
196	0.536358589
197	0.5348970084
198	0.532682415
199	0.5322233235
200	0.5311890086
201	0.5292184154
202	0.5278503504
203	0.5262873794
204	0.5251359257
205	0.5236912938
206	0.5213132525
207	0.5203426613
208	0.5183559914
209	0.5174872439
210	0.5159970257
211	0.5140274351
212	0.5133971259
213	0.5127174184
214	0.5113613188
215	0.5093137183
216	0.5088679656
217	0.5077107532
218	0.506126781
219	0.5050311782
220	0.504009277
221	0.5016472762
222	0.5004588252
223	0.499734743
224	0.4986954808
225	0.4972263071
226	0.4958155645
227	0.4935964373
228	0.4918410479
229	0.4899494697
230	0.4888945737
231	0.4876703148
232	0.4862187306
233	0.4846822981
234	0.4835188318
235	0.4817759682
236	0.4805611793
237	0.4799078917
238	0.4787629627
239	0.4776845383
240	0.4770148659
241	0.474902285
242	0.4735910498
243	0.4728343313
244	0.471572593
245	0.4704939478
246	0.4694388361
247	0.4683372659
248	0.4671283862
249	0.4656221253
250	0.4638612326
251	0.4631664855
252	0.4623101154
253	0.4617421616
254	0.4601316199
255	0.4592056161
256	0.4588039467
257	0.4582308611
258	0.457553097
259	0.4564606387
260	0.4548191357
261	0.4531684901
262	0.4522766257
263	0.4513081881
264	0.4502192621
265	0.4487116433
266	0.4470781179
267	0.4462357734
268	0.4451449688
269	0.4440570965
270	0.4433238855
271	0.4421535341
272	0.4409755651
273	0.4399179127
274	0.4388656277
275	0.436750468
276	0.4357152096
277	0.4348550311
278	0.4337214543
279	0.4324571318
280	0.4316676723
281	0.4306242502
282	0.4293854281
283	0.4288340464
284	0.4275842035
285	0.4261337678
286	0.4252282209
287	0.423776412
288	0.4230851089
289	0.4220734767
290	0.4214573851
291	0.420113195
292	0.4187467307
293	0.4179567958
294	0.4175268005
295	0.4166563873
296	0.4158806356
297	0.4151058884
298	0.414449753
299	0.4133920934
300	0.4130978077
301	0.4123411982
302	0.4110308633
303	0.409764935
304	0.4087320357
305	0.4081459349
306	0.4072287871
307	0.4066162191
308	0.4059762082
309	0.4047571376
310	0.403965986
311	0.4024481319
312	0.4017155894
313	0.4003789394
314	0.3998442289
315	0.3992371634
316	0.3982014874
317	0.3975165848
318	0.3967215922
319	0.3957787735
320	0.3946929605
321	0.3931672653
322	0.3922333416
323	0.3908634543
324	0.3897730195
325	0.3894340049
326	0.388903479
327	0.3879375143
328	0.3868753956
329	0.3857537237
330	0.3851724471
331	0.3842531165
332	0.3836748796
333	0.3832718492
334	0.3819520378
335	0.3804453693
336	0.3797137678
337	0.3795265247
338	0.3786141249
339	0.3778931725
340	0.3775332494
341	0.3767242247
342	0.3758357174
343	0.3746000991
344	0.3737924244
345	0.372829777
346	0.3719679064
347	0.3709853303
348	0.3701056686
349	0.3689721348
350	0.3676767085
351	0.3672956034
352	0.3663933312
353	0.3658652572
354	0.3651041846
355	0.3640794909
356	0.3634442896
357	0.3622981618
358	0.3614774865
359	0.3607951774
360	0.3596031683
361	0.3586566515
362	0.3577307687
363	0.356964606
364	0.3561845674
365	0.3551607867
366	0.3547417626
367	0.3534278127
368	0.3530164969
369	0.3523287571
370	0.3516969209
371	0.3506761987
372	0.3503747433
373	0.3499284816
374	0.3488274692
375	0.3480894723
376	0.3475343151
377	0.3471745821
378	0.3463423146
379	0.3456557014
380	0.3449428827
381	0.3439577172
382	0.3431393297
383	0.3422821467
384	0.3419158165
385	0.3412747264
386	0.3407019902
387	0.3398212004
388	0.3390449904
389	0.3383045343
390	0.3374131538
391	0.3366371657
392	0.3359608223
393	0.3355081345
394	0.3348600996
395	0.3336831223
396	0.3332136431
397	0.3327003498
398	0.3316878348
399	0.3311727594
400	0.3305596629
401	0.329845889
402	0.3293040057
403	0.3286558489
404	0.3279294428
405	0.3270345839
406	0.3263551357
407	0.3255811694
408	0.3250759487
409	0.3241308742
410	0.3230709613
411	0.3224273605
412	0.3217395993
413	0.3208471143
414	0.320651917
415	0.3198519549
416	0.3192750519
417	0.3186317398
418	0.3176797943
419	0.3173939398
420	0.3165083446
421	0.3152500969
422	0.3149677953
423	0.3142842409
424	0.3136856094
425	0.3127933335
426	0.3122312618
427	0.3116241386
428	0.3112708678
429	0.3102719051
430	0.3098968359
431	0.3093396326
432	0.3088174091
433	0.3080605578
434	0.3078507314
435	0.3073943331
436	0.3065080484
437	0.3055164221
438	0.3053771218
439	0.3049855797
440	0.3041584411
441	0.3032143102
442	0.3024894281
443	0.3017214987
444	0.3008377634
445	0.2997691352
446	0.2991644288
447	0.2986461067
448	0.298376156
449	0.2982377261
450	0.297607031
451	0.2967742507
452	0.2958787196
453	0.2951369096
454	0.2942775535
455	0.2936523419
456	0.2929967108
457	0.2925049909
458	0.2919067401
459	0.2912448365
460	0.2905309355
461	0.2897393695
462	0.2892811999
463	0.2888194792
464	0.2880462616
465	0.2878339308
466	0.2871461588
467	0.2864481794
468	0.285942333
469	0.2853798883
470	0.2848239917
471	0.2839190856
472	0.2833579063
473	0.2830705486
474	0.2827334082
475	0.2824485517
476	0.2820565291
477	0.2812623501
478	0.2807565879
479	0.2801897378
480	0.2798638875
481	0.2790327062
482	0.2784092725
483	0.2781768786
484	0.2774854844
485	0.2771401433
486	0.2766114027
487	0.2761752061
488	0.2756936337
489	0.2751680961
490	0.2750031423
491	0.2745412932
492	0.2737727794
493	0.2731823055
494	0.2728648227
495	0.2722279309
496	0.2716335936
497	0.2707558731
498	0.2699298871
499	0.2695753844
500	0.2690014271
501	0.2682585263
502	0.2676308698
503	0.2670227426
504	0.2666676771
505	0.2660701759
506	0.2657865545
507	0.2655141421
508	0.2652383522
509	0.2645374791
510	0.264024772
511	0.2634637279
512	0.262832065
513	0.2625176423
514	0.2622415919
515	0.2616925042
516	0.261097396
517	0.2607460412
518	0.260411513
519	0.2598328703
520	0.2593436756
521	0.2587333909
522	0.2581545945
523	0.257882747
524	0.2572488183
525	0.2569652248
526	0.2563771148
527	0.255886395
528	0.255215235
529	0.2548203654
530	0.2546432363
531	0.2539244862
532	0.2531041327
533	0.2526743175
534	0.252101994
535	0.2518141724
536	0.2514261364
537	0.250984001
538	0.2503574487
539	0.2502243324
540	0.2498484201
541	0.2489081622
542	0.248281322
543	0.2477606813
544	0.2471248745
545	0.2467813202
546	0.2463988801
547	0.2458066042
548	0.2454368945
549	0.2450957479
550	0.2447777421
551	0.2444246093
552	0.2438963185
553	0.2431209708
554	0.2425375532
555	0.2421693961
556	0.2419384666
557	0.2415687535
558	0.241467342
559	0.2411220858
560	0.2404548872
561	0.2400198924
562	0.2395053072
563	0.2387215935
564	0.2385562377
565	0.2380687316
566	0.2376135108
567	0.2369986105
568	0.2364186504
569	0.2356672873
570	0.235146933
571	0.2348511043
572	0.2345879257
573	0.233985449
574	0.2336488868
575	0.2332528697
576	0.232749296
577	0.2323215661
578	0.2317497615
579	0.2312038468
580	0.2304561936
581	0.2299316531
582	0.2292110675
583	0.2288689482
584	0.2283732411
585	0.2279277967
586	0.2275292655
587	0.2270125312
588	0.226613115
589	0.2260425896
590	0.2254761307
591	0.2250133253
592	0.2245617373
593	0.2241421052
594	0.2238896123
595	0.2234498432
596	0.2233681771
597	0.2232420534
598	0.2229287066
599	0.2226589963
600	0.2223660896
601	0.2221175007
602	0.2214959589
603	0.2210076493
604	0.2206997267
605	0.2201069536
606	0.2197984922
607	0.2194638359
608	0.2192791258
609	0.2188355531
610	0.2185909633
611	0.2182588973
612	0.2178282034
613	0.2173672617
614	0.2168990345
615	0.2164166763
616	0.2161543016
617	0.215446812
618	0.2149899419
619	0.2146387746
620	0.2141987219
621	0.2137451368
622	0.2133266357
623	0.2127681125
624	0.2122543428
625	0.2115821892
626	0.2112563508
627	0.2106472369
628	0.2103984783
629	0.2101121749
630	0.2097687518
631	0.2094492629
632	0.2090676978
633	0.2087927365
634	0.208428499
635	0.2078804331
636	0.2077557234
637	0.2071716221
638	0.2068584293
639	0.2065936096
640	0.2062262989
641	0.2057581498
642	0.2054360499
643	0.205040564
644	0.2047763254
645	0.2045785312
646	0.2040537681
647	0.2036332823
648	0.2032955775
649	0.2027616893
650	0.202364068
651	0.2021156342
652	0.201934038
653	0.2016411974
654	0.2010948638
655	0.2005464354
656	0.2001186136
657	0.1995910127
658	0.1993371154
659	0.1988313928
660	0.1982792377
661	0.1980032575
662	0.1977619941
663	0.1973240629
664	0.1969523992
665	0.1966522678
666	0.1963847424
667	0.196099888
668	0.195772547
669	0.1952967369
670	0.1951438447
671	0.194986245
672	0.1944648141
673	0.1940216141
674	0.1937834946
675	0.193640709
676	0.1934732752
677	0.1931454353
678	0.1925751004
679	0.1923501106
680	0.1921115828
681	0.1918611435
682	0.191615707
683	0.191045535
684	0.1908994545
685	0.1906387432
686	0.1903690071
687	0.1900359803
688	0.1895999715
689	0.1891173315
690	0.1889065708
691	0.1887011788
692	0.1883145836
693	0.1879936424
694	0.1877321804
695	0.1874815993
696	0.1870597154
697	0.186786888
698	0.1865052719
699	0.1860649329
700	0.1857526358
701	0.1856214912
702	0.1852885246
703	0.1847270795
704	0.1844217957
705	0.1840036228
706	0.1838894747
707	0.1837662746
708	0.1835085985
709	0.1831289696
710	0.1828037222
711	0.1825262687
712	0.1823202128
713	0.1820323651
714	0.1816422008
715	0.1814564619
716	0.1812343255
717	0.180946725
718	0.1805143221
719	0.1803094257
720	0.1799223425
721	0.1797230335
722	0.1792959976
723	0.1790427167
724	0.1788694776
725	0.1786870468
726	0.1786220928
727	0.1783037189
728	0.1779950602
729	0.1777550617
730	0.1774043686
731	0.1771718622
732	0.1768168965
733	0.1766530613
734	0.1764234804
735	0.176149883
736	0.1759325423
737	0.1757671898
738	0.1753455946
739	0.175006141
740	0.1747208407
741	0.1745299211
742	0.1742441482
743	0.1740246808
744	0.1735540754
745	0.1733414328
746	0.173160499
747	0.1730047717
748	0.1728832716
749	0.1727236971
750	0.1725242552
751	0.1721890832
752	0.1718682754
753	0.171791563
754	0.1715631711
755	0.1712820133
756	0.1711069027
757	0.1707572148
758	0.1705833358
759	0.1701848193
760	0.170007939
761	0.169624814
762	0.1693603303
763	0.1690459692
764	0.1687327757
765	0.1682280974
766	0.1678707383
767	0.1676887099
768	0.167531775
769	0.1673813275
770	0.167067798
771	0.1668725108
772	0.1665479503
773	0.1662277309
774	0.1659722193
