iter	Passed	Remaining
0	179	179613
1	213	106715
2	236	78715
3	253	63232
4	265	52797
5	275	45593
6	286	40590
7	294	36460
8	302	33319
9	314	31153
10	322	29009
11	329	27098
12	336	25512
13	343	24218
14	353	23203
15	360	22158
16	373	21605
17	385	21054
18	428	22121
19	468	22973
20	510	23786
21	522	23218
22	535	22756
23	545	22193
24	553	21586
25	561	21028
26	569	20540
27	577	20034
28	583	19535
29	589	19055
30	598	18692
31	605	18327
32	646	18949
33	658	18698
34	669	18459
35	716	19184
36	756	19699
37	783	19826
38	794	19567
39	803	19279
40	813	19035
41	822	18766
42	830	18484
43	839	18231
44	846	17973
45	854	17714
46	860	17451
47	867	17204
48	874	16968
49	881	16741
50	888	16535
51	896	16342
52	905	16183
53	915	16043
54	929	15965
55	967	16302
56	994	16449
57	1022	16607
58	1062	16949
59	1076	16860
60	1086	16721
61	1095	16579
62	1103	16418
63	1111	16253
64	1118	16089
65	1125	15933
66	1133	15789
67	1141	15644
68	1149	15509
69	1159	15401
70	1167	15279
71	1177	15176
72	1187	15076
73	1196	14971
74	1205	14872
75	1214	14769
76	1223	14667
77	1253	14819
78	1301	15169
79	1336	15375
80	1352	15346
81	1364	15278
82	1377	15218
83	1390	15165
84	1402	15096
85	1542	16389
86	1561	16389
87	1617	16758
88	1638	16774
89	1665	16836
90	1699	16975
91	1720	16980
92	1736	16934
93	1751	16881
94	1775	16915
95	1786	16821
96	1796	16719
97	1806	16626
98	1814	16513
99	1825	16433
100	1832	16315
101	1840	16204
102	1848	16096
103	1850	15941
104	1859	15849
105	1866	15743
106	1873	15632
107	1880	15533
108	1888	15437
109	1897	15355
110	1908	15288
111	1918	15208
112	1928	15135
113	1944	15108
114	1953	15033
115	1963	14962
116	1976	14914
117	1990	14874
118	2001	14819
119	2013	14762
120	2026	14722
121	2040	14683
122	2051	14627
123	2063	14580
124	2080	14563
125	2091	14510
126	2108	14495
127	2126	14486
128	2140	14452
129	2156	14434
130	2169	14390
131	2192	14415
132	2204	14371
133	2217	14328
134	2234	14320
135	2244	14260
136	2256	14212
137	2272	14192
138	2285	14154
139	2297	14111
140	2313	14097
141	2328	14067
142	2348	14075
143	2370	14093
144	2384	14059
145	2397	14024
146	2423	14062
147	2437	14032
148	2450	13998
149	2461	13945
150	2470	13890
151	2481	13841
152	2493	13801
153	2504	13756
154	2514	13706
155	2528	13681
156	2539	13633
157	2548	13579
158	2560	13542
159	2572	13505
160	2583	13463
161	2595	13424
162	2607	13388
163	2634	13427
164	2650	13412
165	2664	13387
166	2682	13381
167	2696	13356
168	2719	13370
169	2739	13373
170	2753	13349
171	2774	13357
172	2788	13328
173	2799	13291
174	2811	13252
175	2825	13227
176	2837	13193
177	2855	13187
178	2882	13222
179	2896	13196
180	2907	13157
181	2915	13105
182	2924	13056
183	2935	13018
184	2945	12977
185	2955	12933
186	2967	12899
187	2993	12931
188	3014	12933
189	3039	12958
190	3049	12915
191	3060	12879
192	3070	12838
193	3079	12793
194	3092	12767
195	3109	12755
196	3128	12753
197	3146	12746
198	3157	12707
199	3170	12683
200	3188	12676
201	3201	12646
202	3214	12620
203	3250	12683
204	3267	12670
205	3281	12647
206	3292	12615
207	3306	12588
208	3337	12629
209	3359	12638
210	3373	12613
211	3387	12591
212	3397	12552
213	3414	12541
214	3429	12522
215	3446	12507
216	3458	12479
217	3467	12438
218	3481	12414
219	3494	12391
220	3504	12352
221	3515	12319
222	3523	12277
223	3532	12238
224	3541	12199
225	3560	12194
226	3579	12189
227	3607	12215
228	3639	12252
229	3651	12225
230	3660	12186
231	3669	12148
232	3678	12108
233	3687	12071
234	3702	12053
235	3719	12042
236	3732	12016
237	3745	11990
238	3755	11958
239	3765	11922
240	3775	11890
241	3791	11876
242	3802	11845
243	3817	11829
244	3833	11813
245	3854	11813
246	3874	11812
247	3884	11779
248	3895	11748
249	3907	11722
250	3918	11694
251	3936	11684
252	3948	11657
253	3965	11647
254	3980	11629
255	3991	11599
256	4005	11580
257	4024	11574
258	4048	11582
259	4075	11599
260	4089	11578
261	4105	11563
262	4115	11532
263	4124	11499
264	4135	11469
265	4145	11439
266	4157	11413
267	4165	11378
268	4176	11348
269	4193	11336
270	4204	11309
271	4230	11322
272	4254	11330
273	4278	11336
274	4301	11339
275	4321	11335
276	4335	11316
277	4346	11289
278	4357	11259
279	4368	11232
280	4381	11210
281	4392	11182
282	4404	11159
283	4415	11132
284	4428	11110
285	4443	11092
286	4456	11071
287	4470	11052
288	4480	11024
289	4493	11000
290	4504	10973
291	4534	10993
292	4548	10976
293	4562	10955
294	4572	10928
295	4590	10917
296	4600	10890
297	4615	10872
298	4627	10848
299	4640	10827
300	4649	10798
301	4659	10770
302	4672	10747
303	4685	10727
304	4699	10708
305	4716	10697
306	4729	10676
307	4748	10668
308	4769	10666
309	4786	10654
310	4802	10639
311	4822	10634
312	4843	10631
313	4862	10623
314	4877	10606
315	4893	10593
316	4908	10575
317	4920	10552
318	4928	10521
319	4936	10490
320	4945	10460
321	4955	10434
322	4969	10416
323	4991	10413
324	5051	10492
325	5093	10531
326	5104	10506
327	5118	10486
328	5128	10459
329	5138	10431
330	5148	10406
331	5156	10375
332	5166	10347
333	5174	10317
334	5182	10287
335	5189	10255
336	5196	10223
337	5203	10191
338	5210	10160
339	5217	10128
340	5225	10099
341	5248	10097
342	5286	10125
343	5322	10149
344	5359	10175
345	5377	10163
346	5386	10136
347	5397	10112
348	5407	10086
349	5421	10068
350	5432	10043
351	5445	10024
352	5454	9996
353	5462	9967
354	5473	9944
355	5482	9917
356	5490	9889
357	5500	9864
358	5516	9850
359	5530	9832
360	5550	9824
361	5586	9845
362	5619	9861
363	5633	9843
364	5643	9817
365	5654	9794
366	5669	9778
367	5683	9760
368	5693	9735
369	5702	9710
370	5710	9682
371	5718	9654
372	5728	9628
373	5736	9602
374	5745	9576
375	5758	9556
376	5772	9538
377	5787	9523
378	5814	9527
379	5881	9596
380	5901	9587
381	5912	9565
382	5927	9549
383	5945	9537
384	5959	9519
385	5971	9498
386	5990	9488
387	6000	9465
388	6010	9440
389	6018	9414
390	6026	9386
391	6034	9359
392	6042	9332
393	6052	9309
394	6062	9285
395	6074	9265
396	6099	9264
397	6135	9280
398	6164	9285
399	6183	9275
400	6196	9255
401	6208	9235
402	6225	9221
403	6240	9206
404	6254	9188
405	6266	9168
406	6281	9151
407	6293	9132
408	6304	9109
409	6323	9100
410	6346	9095
411	6408	9145
412	6469	9195
413	6507	9210
414	6527	9202
415	6559	9208
416	6580	9199
417	6591	9177
418	6603	9157
419	6612	9131
420	6621	9106
421	6629	9080
422	6634	9049
423	6642	9023
424	6651	8998
425	6659	8972
426	6667	8947
427	6675	8921
428	6685	8898
429	6696	8877
430	6706	8854
431	6717	8832
432	6731	8814
433	6752	8806
434	6783	8810
435	6877	8896
436	6893	8881
437	6905	8860
438	6918	8841
439	6927	8817
440	6937	8793
441	6950	8774
442	6964	8756
443	6974	8733
444	6984	8710
445	6993	8687
446	7004	8665
447	7013	8641
448	7022	8618
449	7033	8596
450	7046	8577
451	7056	8555
452	7069	8537
453	7111	8552
454	7137	8549
455	7159	8541
456	7176	8526
457	7204	8525
458	7223	8513
459	7242	8502
460	7254	8481
461	7263	8457
462	7275	8438
463	7289	8420
464	7307	8407
465	7323	8392
466	7349	8388
467	7378	8387
468	7398	8377
469	7438	8387
470	7488	8410
471	7505	8395
472	7514	8372
473	7525	8350
474	7535	8328
475	7554	8316
476	7570	8300
477	7588	8287
478	7607	8274
479	7652	8290
480	7698	8306
481	7718	8294
482	7741	8286
483	7760	8273
484	7776	8256
485	7791	8239
486	7804	8221
487	7832	8217
488	7851	8204
489	7873	8195
490	7894	8184
491	7912	8170
492	7927	8153
493	7944	8137
494	7954	8115
495	7964	8093
496	7975	8071
497	7985	8049
498	7995	8027
499	8004	8004
500	8016	7984
501	8031	7967
502	8045	7949
503	8058	7930
504	8073	7913
505	8098	7906
506	8117	7893
507	8134	7878
508	8155	7867
509	8188	7866
510	8204	7851
511	8213	7828
512	8221	7804
513	8235	7787
514	8245	7765
515	8255	7743
516	8266	7723
517	8289	7712
518	8319	7710
519	8333	7692
520	8348	7675
521	8375	7669
522	8413	7673
523	8457	7682
524	8476	7668
525	8493	7653
526	8522	7649
527	8554	7647
528	8599	7656
529	8627	7651
530	8649	7639
531	8666	7623
532	8684	7608
533	8694	7587
534	8704	7565
535	8713	7543
536	8722	7520
537	8732	7499
538	8757	7489
539	8772	7473
540	8785	7453
541	8797	7434
542	8807	7412
543	8819	7392
544	8831	7373
545	8840	7350
546	8850	7329
547	8857	7305
548	8865	7282
549	8873	7260
550	8882	7237
551	8893	7217
552	8905	7198
553	8920	7181
554	8935	7164
555	8949	7146
556	9004	7161
557	9025	7148
558	9050	7139
559	9092	7143
560	9108	7128
561	9118	7106
562	9126	7084
563	9133	7060
564	9141	7038
565	9148	7014
566	9155	6991
567	9162	6968
568	9169	6945
569	9175	6922
570	9182	6899
571	9191	6877
572	9199	6855
573	9208	6833
574	9219	6814
575	9227	6792
576	9235	6770
577	9242	6747
578	9251	6726
579	9267	6710
580	9278	6691
581	9317	6692
582	9346	6685
583	9367	6672
584	9408	6674
585	9434	6665
586	9465	6659
587	9479	6642
588	9489	6621
589	9498	6600
590	9506	6579
591	9514	6557
592	9520	6534
593	9527	6512
594	9535	6490
595	9543	6469
596	9551	6447
597	9558	6425
598	9567	6405
599	9576	6384
600	9584	6363
601	9592	6341
602	9600	6320
603	9613	6303
604	9624	6284
605	9654	6277
606	9680	6267
607	9750	6286
608	9814	6301
609	9836	6289
610	9848	6270
611	9861	6252
612	9872	6232
613	9881	6212
614	9890	6191
615	9902	6172
616	9915	6154
617	9927	6136
618	9940	6118
619	9950	6098
620	9959	6078
621	9967	6057
622	9974	6036
623	9983	6015
624	9990	5994
625	9997	5972
626	10004	5951
627	10012	5930
628	10020	5910
629	10027	5888
630	10035	5868
631	10046	5849
632	10067	5837
633	10092	5825
634	10161	5840
635	10212	5844
636	10240	5835
637	10257	5820
638	10266	5800
639	10277	5781
640	10288	5762
641	10296	5741
642	10304	5721
643	10312	5700
644	10321	5680
645	10329	5660
646	10337	5639
647	10344	5619
648	10352	5598
649	10359	5578
650	10366	5557
651	10372	5536
652	10379	5515
653	10387	5495
654	10396	5475
655	10405	5456
656	10414	5437
657	10424	5418
658	10438	5401
659	10451	5384
660	10468	5368
661	10494	5358
662	10572	5374
663	10601	5364
664	10617	5348
665	10629	5330
666	10645	5314
667	10658	5297
668	10673	5280
669	10685	5262
670	10699	5246
671	10710	5227
672	10727	5212
673	10736	5193
674	10748	5175
675	10756	5155
676	10772	5139
677	10785	5122
678	10803	5107
679	10825	5094
680	10839	5077
681	10853	5060
682	10882	5051
683	10902	5036
684	10917	5020
685	10936	5006
686	10948	4988
687	10963	4971
688	10981	4956
689	11001	4942
690	11016	4926
691	11035	4911
692	11057	4898
693	11082	4886
694	11097	4870
695	11111	4853
696	11124	4836
697	11136	4818
698	11145	4799
699	11165	4785
700	11181	4769
701	11193	4751
702	11203	4733
703	11215	4715
704	11226	4697
705	11240	4681
706	11252	4663
707	11267	4646
708	11278	4629
709	11292	4612
710	11310	4597
711	11323	4580
712	11332	4561
713	11343	4543
714	11355	4526
715	11372	4510
716	11383	4493
717	11400	4477
718	11431	4467
719	11472	4461
720	11517	4457
721	11553	4448
722	11567	4431
723	11579	4414
724	11593	4397
725	11607	4380
726	11621	4364
727	11635	4347
728	11655	4333
729	11677	4318
730	11686	4300
731	11696	4282
732	11714	4267
733	11728	4250
734	11740	4232
735	11750	4214
736	11760	4196
737	11776	4180
738	11795	4166
739	11817	4152
740	11832	4135
741	11848	4119
742	11864	4103
743	11890	4091
744	11916	4078
745	11940	4065
746	11955	4049
747	11969	4032
748	11986	4016
749	11998	3999
750	12010	3982
751	12027	3966
752	12049	3952
753	12059	3934
754	12082	3920
755	12096	3904
756	12109	3887
757	12124	3870
758	12143	3855
759	12166	3842
760	12181	3825
761	12198	3810
762	12210	3792
763	12222	3775
764	12239	3759
765	12254	3743
766	12269	3727
767	12292	3713
768	12353	3710
769	12370	3695
770	12387	3679
771	12399	3662
772	12417	3646
773	12432	3630
774	12447	3613
775	12467	3599
776	12479	3581
777	12495	3565
778	12511	3549
779	12523	3532
780	12536	3515
781	12550	3498
782	12583	3487
783	12612	3474
784	12627	3458
785	12640	3441
786	12664	3427
787	12689	3413
788	12709	3398
789	12735	3385
790	12752	3369
791	12764	3352
792	12779	3335
793	12802	3321
794	12818	3305
795	12839	3290
796	12869	3277
797	12885	3261
798	12957	3259
799	13064	3266
800	13083	3250
801	13179	3253
802	13219	3243
803	13249	3229
804	13275	3215
805	13293	3199
806	13320	3185
807	13330	3167
808	13338	3149
809	13345	3130
810	13354	3112
811	13362	3093
812	13370	3075
813	13378	3057
814	13388	3039
815	13396	3020
816	13404	3002
817	13411	2983
818	13419	2965
819	13426	2947
820	13433	2928
821	13441	2910
822	13449	2892
823	13456	2874
824	13463	2855
825	13471	2837
826	13479	2819
827	13490	2802
828	13499	2784
829	13507	2766
830	13517	2749
831	13529	2731
832	13538	2714
833	13549	2696
834	13559	2679
835	13582	2664
836	13667	2661
837	13692	2647
838	13725	2633
839	13746	2618
840	13767	2602
841	13781	2586
